Напиток,Цена,Страна,Крепость,Выдержка,Подарочная упаковка
Водка,490,Россия,40,0,0
Водка,490,Россия,40,0,0
Водка,490,Россия,40,0,0
Водка,539,Россия,40,0,0
Водка,539,Россия,40,0,0
Водка,549,Россия,40,0,0
Водка,599,Россия,40,0,0
Водка,649,Россия,40,0,0
Джин,659,Россия,40,0,0
Джин,659,Россия,40,0,0
Джин,659,Россия,40,0,0
Джин,659,Россия,40,0,0
Джин,659,Россия,40,0,0
Водка,699,Россия,40,0,0
Виски,899,Шотландия,40,3,0
Водка,659,Россия,40,0,0
Бренди,1049,Франция,40,2,0
Ром,1099,Нидерланды,37.5,0,0
Ром,1149,Нидерланды,37.5,0,0
Водка,649,Англия,40,0,0
Бренди,1189,Франция,40,1,0
Ликер,1199,Чехия,38,0,0
Виски,1199,Шотландия,40,3,0
Джин,1249,Англия,40,0,0
Виски,1299,Шотландия,40,3,0
Джин,1299,Англия,40,0,0
Водка,1299,Англия,40,0,0
Ром,1299,Франция,40,0,0
Ром,1299,Франция,40,0,0
Ром,1350,Нидерланды,40,0,0
Ром,1379,Доминиканы,37.5,0,0
Водка,1399,Франция,40,0,0
Бурбон,1399,США,40,3,0
Ликер,1490,Германия,36.7,0,0
Водка,1490,Нидерланды,40,0,0
Бурбон,1499,США,40,3,0
Виски,1549,Шотландия,40,7,0
Бренди,1550,Испания,36,1,0
Ром,1649,Германия,38,0,0
Виски,1669,Шотландия,40,3,0
Виски,1669,Шотландия,40,3,0
Ром,1749,Германия,35,0,0
Виски,1166,Шотландия,40,3,0
Ром,1790,Англия,41,0,0
Виски,1799,Ирландия,40,3,0
Джин,1849,Англия,38,0,0
Ликер,1890,Ирландия,17,0,0
Виски,1300,Шотландия,40,7,0
Бренди,1990,Франция,40,4,0
Джин,1999,Англия,41.7,0,0
Кальвадос,1999,Франция,40,2,0
Бренди,1393,Франция,40,5,0
Бренди,1433,Франция,40,5,0
Бренди,2150,Франция,36,3,0
Ликер,2190,Ирландия,17,0,0
Виски,2199,Шотландия,40,12,0
Бурбон,2199,США,40,4,0
